Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8333333333333334,0.837962962962963,0.8333333333333334,0.8318250377073907
Decision Tree,0.7,0.700925925925926,0.7,0.6972850678733031
Random Forest,0.8,0.8037037037037038,0.8,0.7981900452488688
SVM,0.85,0.8683760683760684,0.85,0.8466800804828973
KNN,0.8333333333333334,0.8566666666666667,0.8333333333333334,0.8287037037037037
